filepath,label
BAD/ASLLVD_BAD__ASL_2006_10_10_scene3-2096-2115_camera1.mov,BAD
BAD/ASLLVD_BAD__ASL_2006_10_10_scene3-2096-2115_camera1_aug_brightness_contrast.mp4,BAD
BAD/ASLLVD_BAD__ASL_2006_10_10_scene3-2096-2115_camera1_aug_horizontal_flip.mp4,BAD
BAD/ASLLVD_BAD__ASL_2006_10_10_scene3-2096-2115_camera1_aug_slight_rotation.mp4,BAD
BAD/ASLLVD_BAD__ASL_2006_10_10_scene3-2096-2115_camera1_aug_temporal.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_01_11_scene29-1327-1358_camera1.mov,BAD
BAD/ASLLVD_BAD__ASL_2008_01_11_scene29-1327-1358_camera1_aug_brightness_contrast.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_01_11_scene29-1327-1358_camera1_aug_horizontal_flip.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_01_11_scene29-1327-1358_camera1_aug_slight_rotation.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_01_11_scene29-1327-1358_camera1_aug_temporal.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_05_12_scene19-932-951_camera1.mov,BAD
BAD/ASLLVD_BAD__ASL_2008_05_12_scene19-932-951_camera1_aug_brightness_contrast.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_05_12_scene19-932-951_camera1_aug_horizontal_flip.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_05_12_scene19-932-951_camera1_aug_slight_rotation.mp4,BAD
BAD/ASLLVD_BAD__ASL_2008_05_12_scene19-932-951_camera1_aug_temporal.mp4,BAD
BAD/ASLLVD_BAD__ASL_2011_06_08_scene15-3745-3762_camera1.mov,BAD
BAD/ASLLVD_BAD__ASL_2011_06_08_scene15-3745-3762_camera1_aug_brightness_contrast.mp4,BAD
BAD/ASLLVD_BAD__ASL_2011_06_08_scene15-3745-3762_camera1_aug_horizontal_flip.mp4,BAD
BAD/ASLLVD_BAD__ASL_2011_06_08_scene15-3745-3762_camera1_aug_slight_rotation.mp4,BAD
BAD/ASLLVD_BAD__ASL_2011_06_08_scene15-3745-3762_camera1_aug_temporal.mp4,BAD
BAD/desktop.ini,BAD
BAD/desktop_aug_brightness_contrast.mp4,BAD
BAD/desktop_aug_horizontal_flip.mp4,BAD
BAD/desktop_aug_slight_rotation.mp4,BAD
BAD/desktop_aug_temporal.mp4,BAD
BAD/msasl_bad_ASL_1_Set_2_Supplemental_Vocabulary.mp4.mkv,BAD
BAD/msasl_bad_ASL_1_Set_2_Supplemental_Vocabulary.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_ASL_1_Set_2_Supplemental_Vocabulary.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_ASL_1_Set_2_Supplemental_Vocabulary.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_ASL_1_Set_2_Supplemental_Vocabulary.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_ASL_Bad_.mp4.mkv,BAD
BAD/msasl_bad_ASL_Bad_.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_ASL_Bad_.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_ASL_Bad_.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_ASL_Bad_.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_ASL_Basic_Classroom_Signs.mp4.mkv,BAD
BAD/msasl_bad_ASL_Basic_Classroom_Signs.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_ASL_Basic_Classroom_Signs.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_ASL_Basic_Classroom_Signs.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_ASL_Basic_Classroom_Signs.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_ASL_I_-_Unit_11.mp4.mkv,BAD
BAD/msasl_bad_ASL_I_-_Unit_11.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_ASL_I_-_Unit_11.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_ASL_I_-_Unit_11.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_ASL_I_-_Unit_11.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_ASL_Level_2_Unit_11_Vocabulary.mp4,BAD
BAD/msasl_bad_ASL_Level_2_Unit_11_Vocabulary_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_ASL_Level_2_Unit_11_Vocabulary_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_ASL_Level_2_Unit_11_Vocabulary_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_ASL_Level_2_Unit_11_Vocabulary_aug_temporal.mp4,BAD
BAD/msasl_bad_ASL_Vocabulary_Opposites.mp4.mkv,BAD
BAD/msasl_bad_ASL_Vocabulary_Opposites.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_ASL_Vocabulary_Opposites.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_ASL_Vocabulary_Opposites.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_ASL_Vocabulary_Opposites.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_Aug_to_Oct_Voc_Captions.mp4.mkv,BAD
BAD/msasl_bad_Aug_to_Oct_Voc_Captions.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_Aug_to_Oct_Voc_Captions.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_Aug_to_Oct_Voc_Captions.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_Aug_to_Oct_Voc_Captions.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_BAD(1).mp4,BAD
BAD/msasl_bad_BAD(1)_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_BAD(1)_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_BAD(1)_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_BAD(1)_aug_temporal.mp4,BAD
BAD/msasl_bad_BAD(2).mp4.mkv,BAD
BAD/msasl_bad_BAD(2).mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_BAD(2).mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_BAD(2).mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_BAD(2).mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_Characters_vocabulary.mp4.mkv,BAD
BAD/msasl_bad_Characters_vocabulary.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_Characters_vocabulary.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_Characters_vocabulary.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_Characters_vocabulary.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_Food_unit_(first_three_pages).mp4,BAD
BAD/msasl_bad_Food_unit_(first_three_pages)_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_Food_unit_(first_three_pages)_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_Food_unit_(first_three_pages)_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_Food_unit_(first_three_pages)_aug_temporal.mp4,BAD
BAD/msasl_bad_Learn_ASL_Signing_about_feelings_and_emotions.mp4.webm,BAD
BAD/msasl_bad_Learn_ASL_Signing_about_feelings_and_emotions.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_Learn_ASL_Signing_about_feelings_and_emotions.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_Learn_ASL_Signing_about_feelings_and_emotions.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_Learn_ASL_Signing_about_feelings_and_emotions.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_Medical_Vocabulary_in_ASL_for_EMS_employees.mp4.mkv,BAD
BAD/msasl_bad_Medical_Vocabulary_in_ASL_for_EMS_employees.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_Medical_Vocabulary_in_ASL_for_EMS_employees.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_Medical_Vocabulary_in_ASL_for_EMS_employees.mp4_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_Medical_Vocabulary_in_ASL_for_EMS_employees.mp4_aug_temporal.mp4,BAD
BAD/msasl_bad_Robber_and_the_Geek_Vocab_video_for_ASL_class.mp4,BAD
BAD/msasl_bad_Robber_and_the_Geek_Vocab_video_for_ASL_class_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_Robber_and_the_Geek_Vocab_video_for_ASL_class_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_Robber_and_the_Geek_Vocab_video_for_ASL_class_aug_slight_rotation.mp4,BAD
BAD/msasl_bad_Robber_and_the_Geek_Vocab_video_for_ASL_class_aug_temporal.mp4,BAD
BAD/msasl_bad_SN_Unit_1_Video_Vocab_Review.mp4.mkv,BAD
BAD/msasl_bad_SN_Unit_1_Video_Vocab_Review.mp4_aug_brightness_contrast.mp4,BAD
BAD/msasl_bad_SN_Unit_1_Video_Vocab_Review.mp4_aug_horizontal_flip.mp4,BAD
BAD/msasl_bad_SN_Unit_1_Video_Vocab_Review.mp4_aug_slight_rotation.mp4,BAD
